id,nombre,subregion,altitud_msnm,temperatura_c,distancia_medellin_km,tiempo_medellin,coordenadas,como_llegar,historia,atractivos,gastronomia,festividades,tipo_via,dificultad_moto,tips_moto,poblacion,notas_adicionales,updated_at,nombre_norm
la-pintada,La Pintada,Suroeste,550,28,70,1h15min,"{'lat': 5.7543, 'lng': -75.6133}","Desde Medellín por Autopista Sur-Caldas. Punto de cruce entre Antioquia, Caldas y Risaralda.",Fundada en 1918. Municipio de clima cálido ubicado en la confluencia de los ríos Cauca y Poblanco. Centro de servicios para la zona de La Pintada. Importante nodo vial entre Antioquia y el Eje Cafetero. Zona turística de balnearios en el río Cauca.,"['Río Cauca (balnearios)', 'Parque de La Pintada', 'Zona comercial de cambio departamental', 'Miradores del Cauca', 'Balnearios privados']","['Sancocho de pescado', 'Mojarra frita', 'Plátano', 'Guarapo de caña', 'Frutas tropicales', 'Cerveza fría']","['Fiestas del Río (agosto)', 'Fiestas patronales']",Autopista en perfecto estado. Punto de cruce de vías nacionales.,facil,La Pintada: la gasolinera más conocida del Suroeste. Parada obligada de moto. Excelente mojarra frita en los restaurantes del río. Calor intenso: hidratación.,15000,"Nodo vial entre Antioquia, Caldas y Risaralda. Gasolinera estratégica del Suroeste.",2026-07-14 12:07:16.77151+00,la pintada
la-union,La Unión,Oriente,2500,14,65,1h30min,"{'lat': 5.978, 'lng': -75.3574}",Desde La Ceja o El Carmen de Viboral hacia el sur por carretera departamental.,Fundada en 1860. La más alta de las cabeceras municipales del Oriente antioqueño. Clima muy frío. Importante producción de papa y hortalizas. Su posición en las montañas ofrece vistas espectaculares del Oriente.,"['Parque principal', 'Iglesia de La Unión', 'Cultivos de papa y hortalizas', 'Miradores naturales', 'Páramos', 'Quebradas cristalinas']","['Sancocho de papa', 'Frijoles', 'Trucha', 'Fritada antioqueña', 'Aguapanela con queso']","['Fiestas patronales', 'Festival del Campesino']","Carretera departamental, curvas pronunciadas, bien pavimentada.",media,"Ropa de abrigo obligatoria: puede hacer 8-12°C. Niebla frecuente en las mañanas. Zona alta de páramo, precaución con el piso mojado.",18000,,2026-07-14 12:03:11.391593+00,la union
liborina,Liborina,Occidente,1000,23,95,2h,"{'lat': 6.6895, 'lng': -75.8624}",Desde Santa Fe de Antioquia o desde Olaya por carretera departamental.,"Fundado en 1786. Municipio del norte del Occidente antioqueño. Zona agrícola con producción de café, cacao y plátano. Clima templado. Paisajes verdes de montaña.","['Parque principal', 'Ríos y quebradas', 'Cultivos de café y cacao', 'Miradores']","['Café', 'Cacao artesanal', 'Frijoles', 'Sancocho']","['Fiestas patronales', 'Festival del Cacao']","Carretera departamental, sinuosa.",media,Municipio tranquilo del norte del Occidente.,15000,,2026-07-14 12:04:26.281938+00,liborina
maceo,Maceo,Magdalena Medio,600,26,140,2h45min,"{'lat': 6.5417, 'lng': -74.7741}",Desde Medellín por San Roque o desde Puerto Berrío.,Fundado en 1854. Municipio de transición entre el Nordeste y el Magdalena Medio. Zona minera y agropecuaria. Clima cálido-templado. Paisajes de montaña baja.,"['Parque principal', 'Río Nus', 'Minas', 'Cultivos de cacao']","['Cacao artesanal', 'Sancocho', 'Plátano', 'Frijoles', 'Frutas']",['Fiestas patronales'],Carretera departamental.,media,Municipio de transición. Buen cacao de la zona.,10000,,2026-07-14 12:08:51.077731+00,maceo
marinilla,Marinilla,Oriente,2120,17,55,1h15min,"{'lat': 6.1748, 'lng': -75.3379}","Autopista Medellín-Bogotá, desvío en El Santuario o en Rionegro hacia el oriente.","Fundada en 1690. Conocida como la ""Ciudad de los Escribanos"" por su histórica tradición educativa. Centro religioso importante de Antioquia, con su famosa basílica colonial. Sede del Santuario de Nuestra Señora del Carmen.","['Basílica Menor de Nuestra Señora del Carmen', 'Parque principal', 'Casa de la Cultura', 'Quebrada El Topacio', 'Embalse Piedras Blancas', 'Vereda El Cascajal', 'Templo colonial']","['Trucha', 'Sancocho de gallina', 'Frijoles de carga', 'Pan de yuca', 'Aguapanela con queso']","['Fiestas del Carmen (julio)', 'Festival Nacional de la Trova', 'Semana Cultural']","Autopista hasta Rionegro, luego vía regional buena.",facil,Combinar visita a Marinilla con El Santuario y El Carmen de Viboral para ruta completa del Oriente. Zona azucarera con muchos trapiches.,50000,,2026-07-14 12:03:11.391593+00,marinilla
medellin,Medellín,Valle de Aburrá,1495,22,0,0 min,"{'lat': 6.2442, 'lng': -75.5812}",Centro del Departamento de Antioquia. Acceso por todas las autopistas del Área Metropolitana.,Fundada en 1616 como San Lorenzo de Aburrá. Capital de Antioquia desde 1826. Pasó de ser la ciudad más violenta del mundo en los 90 a modelo internacional de urbanismo e innovación. Ciudad de la Eterna Primavera por su clima templado.,"['Museo de Antioquia', 'Parque Explora', 'Jardín Botánico', 'El Poblado', 'Laureles', 'Metrocable', 'Plaza Botero', 'Pueblito Paisa', 'Parque Arví', 'El Centro histórico', 'Estadio Atanasio Girardot', 'Barrio Colombia']","['Bandeja paisa', 'Sancocho antioqueño', 'Arepa de chócolo', 'Chicharrón', 'Mazamorra', 'Aguardiente antioqueño', 'Chorizo santarrosano', 'Mondongo']","['Feria de las Flores (agosto)', 'Alumbrados navideños (diciembre)', 'Festival Internacional de Jazz', 'Antioquia en el Corazón', 'Medellín Fashion Week']","Autopistas urbanas, excelente estado.",facil,Medellín tiene ciclovías y zonas peatonales. Cuidado con el tráfico del Centro. Mejor moverse temprano o tarde.Parqueo fácil en El Poblado y Laureles.,2700000,,2026-07-14 12:00:58.273533+00,medellin
montebello,Montebello,Suroeste,2050,15,90,1h50min,"{'lat': 5.9507, 'lng': -75.5249}",Desde Medellín por Caldas-La Estrella-Santa Bárbara.,Fundado en 1909. Municipio cafetero del Suroeste central. Zona de alta montaña con clima frío. Vistas espectaculares sobre los valles del Suroeste.,"['Parque principal', 'Miradores de montaña', 'Cultivos de café', 'Páramos', 'Ríos']","['Café', 'Frijoles', 'Chicharrón', 'Mazamorra', 'Papa chorreada']","['Fiestas patronales', 'Festival del Campesino']",Carretera departamental sinuosa.,media,Municipio frío del Suroeste. Llevar chaqueta.,10000,,2026-07-14 12:07:16.77151+00,montebello
murindo,Murindó,Urabá,30,28,450,10h,"{'lat': 6.9795, 'lng': -76.754}",Desde Medellín por Dabeiba y luego por ríos o pistas. Zona de muy difícil acceso terrestre.,"Fundado en 1994. Municipio del Urabá chocoano. Zona de selva amazónica antioqueña, muy difícil acceso. Territorio de comunidades afrodescendientes e indígenas Emberá. Zona de altísima biodiversidad.","['Selva tropical', 'Ríos del Atrato', 'Comunidades Emberá', 'Biodiversidad excepcional', 'Avistamiento de aves']","['Plátano', 'Yuca', 'Pescado de río', 'Frutas de selva']",['Fiestas comunitarias'],Vía fluvial principalmente. No hay carretera convencional.,muy_dificil,Acceso principalmente por río o avioneta. No apto para motos convencionales. Zona de selva amazónica pura.,7000,Acceso principalmente fluvial o aéreo. Selva amazónica antioqueña.,2026-07-14 12:09:50.678603+00,murindo
mutatá,Mutatá,Urabá,100,28,300,5h,"{'lat': 7.2421, 'lng': -76.4348}","Desde Medellín por la Autopista al Mar, zona de montaña-selva de transición.","Fundado en 1978. Municipio de la serranía de Abibe en el Urabá. Zona de selva húmeda y biodiversidad. Transición entre el Occidente y el Urabá. Zona histórica de conflicto armado, en normalización.","['Serranía de Abibe', 'Ríos de selva', 'Bosques húmedos tropicales', 'Comunidades indígenas Emberá']","['Plátano', 'Yuca', 'Sancocho', 'Frutas tropicales']",['Fiestas patronales'],Autopista al Mar con tramos sinuosos en la serranía.,media,Zona de transición Occidente-Urabá. La serranía de Abibe tiene biodiversidad excepcional.,18000,Zona de transición con la serranía de Abibe. Alta biodiversidad.,2026-07-14 12:09:50.678603+00,mutata
narino-ant,Nariño,Oriente,1750,19,85,1h50min,"{'lat': 5.9669, 'lng': -75.1587}",Desde Medellín por La Ceja o Abejorral hacia el sur del Oriente.,"Fundado en 1880. Municipio agropecuario del sur del Oriente antioqueño. Producción de plátano, yuca y ganadería. Paisajes de ladera y clima templado. Poco conocido turísticamente, pero de gran belleza paisajística.","['Parque principal', 'Ríos y quebradas', 'Paisajes de ladera', 'Cultivos tropicales']","['Plátano frito', 'Sancocho de gallina', 'Yuca', 'Frijoles', 'Aguardiente']","['Fiestas patronales', 'Feria Agropecuaria']","Carretera departamental, algunos tramos sinuosos.",media,Municipio de paso entre el sur del Oriente y el Suroeste antioqueño. Buenos paisajes. Poca oferta turística formal.,8000,,2026-07-14 12:03:11.391593+00,narino
nechi,Nechí,Bajo Cauca,30,34,300,6h,"{'lat': 8.0965, 'lng': -74.7712}",Desde Caucasia hacia el noreste.,Fundado en 1850. Municipio del extremo norte del Bajo Cauca. A orillas del río Nechí y cerca del Cauca. Zona de ciénagas y selva tropical. Pesca artesanal.,"['Río Nechí', 'Ciénagas', 'Parque principal', 'Zonas de pesca', 'Selva tropical']","['Pescado frito', 'Bagre', 'Plátano', 'Yuca', 'Frutas tropicales']","['Fiestas patronales', 'Festival del Pescador']",Carretera con tramos destapados.,muy_dificil,Zona muy remota del norte de Antioquia. Para moteros aventureros con preparación.,28000,,2026-07-14 12:08:51.077731+00,nechi
necoclí,Necoclí,Urabá,2,28,420,7h30min,"{'lat': 8.4237, 'lng': -76.7851}",Desde Turbo por carretera costera hacia el norte. O por lancha desde Turbo.,"Fundado en 1900. Municipio costero del Urabá, con las mejores playas del Golfo. Las playas de Necoclí son las más largas del Golfo de Urabá. Destino turístico playero en crecimiento. Zona de mariscos y pesca.","['Playas del Golfo (las más largas)', 'Muelle de Necoclí', 'Zona de manglares', 'Centro histórico', 'Migraciones de aves', 'Playa El Caracol', 'Parque la Iguana']","['Mariscos', 'Langosta', 'Mojarra del mar', 'Arroz con coco', 'Patacón', 'Cocadas', 'Piña colada artesanal']","['Festival del Mar y la Playa', 'Fiestas patronales de la Virgen de las Mercedes (septiembre)']","Carretera costera, algunos tramos con baches.",media,"Necoclí tiene las mejores playas del Golfo. Aguas tranquilas del Caribe. Si llevas la moto hasta aquí, eres de los pocos. Recuerda que no puedes cruzar el Tapón del Darién en moto.",20000,Mejores playas del Golfo de Urabá.,2026-07-14 12:09:50.678603+00,necocli
olaya,Olaya,Occidente,800,25,85,1h45min,"{'lat': 6.5979, 'lng': -75.8249}","Desde Santa Fe de Antioquia hacia el norte, cruzando el Cauca.","Fundado en 1874. Municipio del Occidente entre Santa Fe de Antioquia y el Norte. Zona de clima cálido junto al río Cauca. Producción de cacao, plátano y frutas tropicales. Paisajes del cañón del Cauca.","['Río Cauca', 'Cultivos tropicales', 'Parque principal', 'Miradores del Cauca']","['Cacao', 'Plátano', 'Sancocho de gallina', 'Frutas tropicales']","['Fiestas patronales', 'Feria Agropecuaria']","Carretera regional, algunos tramos en regular estado.",media,Zona de clima cálido. Ruta poco transitada del norte del Occidente.,8000,,2026-07-14 12:04:26.281938+00,olaya
peque,Peque,Occidente,1500,20,120,2h45min,"{'lat': 7.0417, 'lng': -75.8833}","Desde Medellín por el norte del Occidente, vía Olaya o Liborina.",Fundado en 1843. Municipio del norte del Occidente antioqueño. Zona agrícola con producción de café y ganado. Paso hacia la zona norte.,"['Parque principal', 'Cultivos de café', 'Ríos', 'Miradores naturales']","['Café', 'Frijoles', 'Sancocho', 'Mazamorra']","['Fiestas patronales', 'Feria del Campesino']","Carretera departamental, algunos tramos en regular estado.",dificil,Zona de difícil acceso del norte del Occidente.,13000,,2026-07-14 12:04:26.281938+00,peque
pueblorrico,Pueblorrico,Suroeste,1900,16,145,3h,"{'lat': 5.7289, 'lng': -75.8878}",Desde Medellín por Andes-Ciudad Bolívar.,Fundado en 1887. Municipio cafetero del extremo sur del Suroeste antioqueño. Zona de alta montaña con clima frío. Producción de café especial y hortalizas.,"['Parque principal', 'Cultivos de café especial', 'Páramos', 'Ríos de montaña']","['Café especial', 'Frijoles', 'Sancocho', 'Mazamorra', 'Papa chorreada']","['Fiestas patronales', 'Festival del Café']",Carretera departamental con curvas.,media,Zona muy fría del Suroeste. Lleva chaqueta. El café de Pueblorrico es excelente.,8000,,2026-07-14 12:07:16.77151+00,pueblorrico
puerto-berrio,Puerto Berrío,Magdalena Medio,130,32,185,3h30min,"{'lat': 6.4882, 'lng': -74.4046}",Desde Medellín por la Autopista Medellín-Bogotá hasta Puerto Triunfo o por Yolombó-Remedios.,Fundado en 1875. Puerto fluvial histórico sobre el río Magdalena. Centro económico del Magdalena Medio antioqueño. Ciudad portuaria con tradición de navegación fluvial. Puerto ganadero y minero. Clima muy cálido por su baja altitud.,"['Río Magdalena', 'Puerto fluvial', 'Malecón sobre el Magdalena', 'Parque principal', 'Playa del Magdalena', 'Deportes náuticos', 'Piscinas naturales']","['Sancocho de bagre', 'Mojarra frita', 'Bocachico frito', 'Cabeza de bagre', 'Plátano', 'Yuca', 'Guarapo', 'Cerveza fría']","['Fiestas del Río Magdalena (agosto)', 'Festival Náutico', 'Fiestas patronales del Sagrado Corazón']",Carretera nacional en buen estado.,facil,Puerto Berrío: 32-36°C. Hidratación constante. El río Magdalena es imponente. Mejor visitar en la mañana temprano. Buena gasolina disponible.,50000,Puerto histórico sobre el río Magdalena. Centro del Magdalena Medio antioqueño.,2026-07-14 12:08:51.077731+00,puerto berrio
puerto-nare,Puerto Nare,Magdalena Medio,130,32,190,4h,"{'lat': 6.1974, 'lng': -74.5912}",Desde Puerto Triunfo por el Magdalena o desde la Autopista Medellín-Bogotá.,Fundado en 1888. Puerto fluvial sobre el Magdalena. Zona de cementera importante (Argos). Río Magdalena con pescado fresco. Clima muy cálido. Playa fluvial sobre el Magdalena.,"['Río Magdalena', 'Playa fluvial', 'Cemento Argos (infraestructura)', 'Ciénagas', 'Pesca deportiva']","['Mojarra frita', 'Bagre', 'Sancocho de pescado', 'Plátano', 'Guarapo']","['Fiestas del Río', 'Fiestas patronales']","Vía nacional hasta desvío, luego departamental.",media,Zona muy caliente. El río Magdalena tiene playas de arena blanca. Buena pesca.,20000,,2026-07-14 12:08:51.077731+00,puerto nare
puerto-triunfo,Puerto Triunfo,Magdalena Medio,130,32,165,3h,"{'lat': 5.8765, 'lng': -74.6331}",Por la Autopista Medellín-Bogotá. La más cercana del Magdalena Medio a Medellín.,"Fundado en 1960. Sede de Hacienda Nápoles, la famosa finca de Pablo Escobar, hoy convertida en parque temático. La autopista Medellín-Bogotá pasa por aquí. Puerto sobre el Magdalena. Zona de calor intenso y naturaleza tropical.","['Hacienda Nápoles (Parque Temático)', 'Zoológico Hacienda Nápoles', 'Río Magdalena', 'Playas fluviales', 'Hipopótamos del Magdalena (escapados de Nápoles)', 'Ruta de la Autopista']","['Sancocho de pescado', 'Mojarra', 'Plátano', 'Yuca', 'Frutas tropicales', 'Guarapo']","['Fiestas del Río (agosto)', 'Semana Turística', 'Fiestas patronales']",Autopista Medellín-Bogotá en perfecto estado.,facil,Hacienda Nápoles es visita obligada de cultura popular colombiana. Los hipopótamos en el Magdalena son únicos en el mundo. Clima 32-36°C: hidratación vital. Los restaurantes de la autopista tienen buen sancocho de pescado.,15000,Sede de la Hacienda Nápoles. Los hipopótamos de Escobar habitan el Magdalena.,2026-07-14 12:08:51.077731+00,puerto triunfo
remedios,Remedios,Nordeste,350,30,180,4h,"{'lat': 7.0228, 'lng': -74.6897}","Desde Medellín por la Autopista Norte hasta Yarumal, luego por Segovia hacia el oriente.",Fundado en 1560. Uno de los municipios más antiguos de Antioquia. Zona aurífera histórica explotada desde la colonia. Clima muy cálido por su baja altitud. El río Nechí y sus afluentes son ricos en oro. Zona históricamente difícil.,"['Parque principal', 'Minas de oro históricas', 'Río Nechí', 'Cultivos tropicales', 'Arquitectura colonial']","['Sancocho de pescado', 'Plátano', 'Yuca', 'Mojarra frita', 'Frutas tropicales']","['Fiestas patronales San Bartolomé (agosto)', 'Festival Minero']",Carretera departamental con tramos difíciles en invierno.,dificil,Zona muy caliente (30-35°C). Hidratación constante. Zona minera. Llevar gasolina extra.,30000,Uno de los municipios más antiguos de Antioquia. Zona aurífera histórica desde 1560.,2026-07-14 12:08:51.077731+00,remedios
rionegro,Rionegro,Oriente,2150,17,45,1h,"{'lat': 6.1553, 'lng': -75.373}",Autopista Medellín-Bogotá (vía Las Palmas o túnel de Oriente). Aeropuerto José María Córdova aquí.,"Fundada en 1653. Segunda ciudad más importante de Antioquia. En 1863 fue sede del Congreso que redactó la Constitución de Rionegro, que dio nombre a los Estados Unidos de Colombia. Ciudad de clima frío, sede del único aeropuerto internacional de Antioquia.","['Aeropuerto Internacional José María Córdova', 'Convento de las Carmelitas', 'Parque principal Simón Bolívar', 'La Casa de la Convención', 'Lago La Fe', 'Colegio La Salle (histórico)', 'Zona Rosa El Porvenir', 'Centro Comercial San Nicolás']","['Trucha al ajillo', 'Fritanga antioqueña', 'Pan de maíz', 'Aguapanela con queso', 'Frijoles negros', 'Chicharrón', 'Mazamorra con panela']","['Feria Comercial e Industrial', 'Festival de la Trova', 'Fiestas patronales Santiago Apóstol (julio)', 'Feria de Flores del Oriente']",Autopista perfecta en doble calzada hasta el aeropuerto. Túnel de Oriente (vía alterna con peaje).,facil,Vía Las Palmas: 45 min pero panorámica. Túnel de Oriente: 30 min pero tiene peaje moto ~$8.000. Las curvas de Las Palmas son el placer de los moteros. Lleva chaqueta: frío constante.,180000,Sede del Aeropuerto Internacional José María Córdova.,2026-07-14 12:03:11.391593+00,rionegro
sabanalarga,Sabanalarga,Occidente,1400,20,110,2h30min,"{'lat': 6.8817, 'lng': -75.8091}","Desde Liborina hacia el norte, o desde el norte por Ituango.",Fundado en 1890. Municipio entre el Occidente y el Norte de Antioquia. Zona de páramo y bosques. Produción agrícola. Zona de difícil acceso histórico.,"['Páramos', 'Bosques andinos', 'Quebradas', 'Parque principal']","['Frijoles', 'Sancocho', 'Mazamorra', 'Chicharrón']",['Fiestas patronales'],"Carretera departamental, algunos tramos complicados.",dificil,Zona de difícil acceso. Para moteros con experiencia en vías destapadas.,10000,,2026-07-14 12:04:26.281938+00,sabanalarga
sabaneta,Sabaneta,Valle de Aburrá,1575,21,12,20 min,"{'lat': 6.1514, 'lng': -75.6178}","Autopista Sur desde Medellín, antes de La Estrella.","Fundado en 1903. Municipio más pequeño de Antioquia y uno de los más densamente poblados de Colombia. Famous worldwide among devotees of ""El Niño Jesús de Praga"" whose sanctuary draws thousands weekly. Zona de comercio de artesanías y antigüedades.","['Santuario del Señor de las Misericordias', 'Parque principal', 'Antigüedades de Sabaneta (calle 75)', 'Parque Alcázares', 'Sector comercial']","['Bandeja paisa', 'Fritanga', 'Empanadas', 'Helado artesanal', 'Chicharrón de cerdo']","['Festejo del Niño Jesús de Praga (primer viernes de mes)', 'Fiestas patronales de San Juan Bautista (junio)', 'Festival de Antigüedades']","Autopista Sur, vías urbanas en buen estado.",facil,"Los primeros viernes de cada mes, miles de peregrinos van al santuario. Tráfico intenso ese día. La calle de antigüedades es ideal para encontrar piezas únicas.",60000,Municipio más pequeño de Antioquia en extensión.,2026-07-14 12:00:58.273533+00,sabaneta
salgar,Salgar,Suroeste,1750,18,115,2h15min,"{'lat': 5.9571, 'lng': -75.9776}",Desde Medellín por Concordia o desde Andes.,Fundado en 1878. Municipio cafetero del Suroeste. Zona de montaña con ríos cristalinos y bosques. Punto de conexión entre el Suroeste y el Bajo Cauca de cara al Pacífico.,"['Río Barroso', 'Parque principal', 'Cultivos de café', 'Cascadas naturales', 'Bosques']","['Café', 'Frijoles', 'Sancocho de gallina', 'Chicharrón', 'Mazamorra']","['Fiestas patronales', 'Festival del Café']",Carretera departamental sinuosa.,media,Zona cafetera poco masificada. Buenos paisajes de ladera del Suroeste sur.,22000,,2026-07-14 12:07:16.77151+00,salgar
san-andres-cuerquia,San Andrés de Cuerquia,Norte,1700,18,160,3h30min,"{'lat': 7.066, 'lng': -75.6127}","Desde Medellín por Yarumal e Ituango, o por vías del occidente norte.","Fundado en 1830. Municipio del Norte profundo. Zona agropecuaria con producción de café, panela y ganado. Paisajes de montaña poco explorados turísticamente.","['Parque principal', 'Cultivos de café', 'Trapiche panelero', 'Ríos', 'Miradores']","['Panela', 'Café', 'Frijoles', 'Sancocho', 'Aguardiente']","['Fiestas patronales', 'Festival del Panelero']",Carretera departamental con tramos difíciles.,dificil,Zona de difícil acceso. Para moteros que buscan rutas poco transitadas.,10000,,2026-07-14 12:05:42.236136+00,san andres de cuerquia
san-carlos,San Carlos,Oriente,1000,24,110,2h30min,"{'lat': 6.1922, 'lng': -74.9978}","Desde Medellín por Autopista Medellín-Bogotá hasta El Santuario, luego desvío por El Santuario o por Cocorná.","Fundado en 1787. Municipio símbolo de reconciliación y ecoturismo. Gravemente afectado por el conflicto armado, hoy es referente de paz y turismo de naturaleza. Sus ríos, cascadas y embalses son de los más hermosos de Antioquia. El río Samaná Norte y el San Carlos son joyas.","['Embalse San Carlos', 'Cascada El Salto del Ángel', 'Río Samaná Norte', 'Tubing y rafting', 'Cascada El Encanto', 'Senderos ecológicos', 'Museo de la Memoria San Carlos', 'Playas de río']","['Sancocho de gallina', 'Trucha', 'Plátano frito', 'Guanábana', 'Maracuyá', 'Frutas tropicales', 'Sancocho de bagre']","['Festival del Río (agosto)', 'Fiestas patronales San Carlos Borromeo', 'Semana Ecológica']",Carretera bien pavimentada con curvas pronunciadas. Descenso largo hacia clima cálido.,media,"San Carlos es el paraíso del ecoturismo en Antioquia. Sus cascadas y ríos no tienen igual. Llevar ropa para nadar. Temperatura agradable de 22-26°C. Mejor época: temporada seca (dic-feb, jul-ago).",17000,Premio Nacional de Paz. Destino ecoturístico destacado de Colombia.,2026-07-14 12:03:11.391593+00,san carlos
san-francisco,San Francisco,Oriente,1200,22,95,2h,"{'lat': 6.2956, 'lng': -75.1101}","Desde Medellín por la Autopista Medellín-Bogotá, desvío en Cocorná o en El Santuario.",Fundado en 1985 (uno de los más nuevos). Municipio de selva húmeda y ríos cristalinos. Zona de transición entre el clima frío del altiplano y el calor del Magdalena. El río Santo Domingo y sus afluentes forman un sistema hídrico espectacular.,"['Río Santo Domingo', 'Cañón del río Claro (zona)', 'Cascadas naturales', 'Tubing', 'Senderos de selva', 'Puente colgante La Danta']","['Sancocho de gallina', 'Plátano', 'Yuca', 'Trucha', 'Guanábana', 'Frutas tropicales']","['Fiestas patronales San Francisco de Asís (octubre)', 'Festival del Agua']",Carretera sinuosa con tramos en buen estado. Algunos tramos destapados.,media,"San Francisco tiene uno de los ecosistemas más ricos del Oriente. El río Santo Domingo es impresionante. Ruta combinable con Cocorná. Llevar hidratación, clima cálido.",12000,,2026-07-14 12:03:11.391593+00,san francisco
san-jeronimo,San Jerónimo,Occidente,1050,24,55,1h,"{'lat': 6.3683, 'lng': -75.712}","Salida de Medellín por la Autopista al Mar, antes del túnel de Occidente.","Fundado en 1787. Municipio de microclima agradable entre el frío del Valle y el calor del Cauca. Famoso por sus cultivos de uvas (vitivinicultura), mangos y aguacates. La Fiesta de las Uvas es uno de los eventos más peculiares de Antioquia.","['Cultivos de uva', 'Parque principal', 'Iglesia San Jerónimo', 'Haciendas frut ícolas', 'Río Aurra', 'Balnearios']","['Vino artesanal de uva', 'Uvas frescas', 'Mango', 'Aguacate', 'Sancocho', 'Frijoles', 'Frutas exóticas']","['Festival de las Uvas (septiembre)', 'Fiestas patronales San Jerónimo (septiembre)', 'Festival del Mango']","Autopista hasta desvío, vía en buen estado.",facil,"San Jerónimo es famoso por sus uvas. El festival de las uvas es único en Colombia. A solo 1h de Medellín, ideal para el fin de semana.",25000,Única región vitivinícola de Antioquia.,2026-07-14 12:04:26.281938+00,san jeronimo
san-jose-montana,San José de la Montaña,Norte,2900,10,80,1h50min,"{'lat': 6.8333, 'lng': -75.6833}",Desde San Pedro de los Milagros o desde Belmira.,"Fundado en 1912. Municipio más frío de Antioquia (casi 3000 msnm). Zona de páramo con niebla permanente. Producción de papa, hortalizas y ganado. Paisajes de alta montaña únicos en el departamento.","['Páramo de San José', 'Paisajes de alta montaña', 'Cultivos de papa', 'Fincas de montaña', 'Niebla permanente']","['Papa chorreada', 'Mazamorra de papa', 'Caldo de costilla', 'Chocolate caliente', 'Cuajada']",['Fiestas patronales San José (marzo)'],"Vía departamental sinuosa, puede haber neblina y hielo.",dificil,CUIDADO: temperatura puede bajar a 2-5°C. Niebla persistente. Piso mojado casi siempre. Llevar ropa térmica completa. El paisaje es de otro mundo.,5000,Municipio más frío de Antioquia.,2026-07-14 12:05:42.236136+00,san jose de la montana
san-juan-uraba,San Juan de Urabá,Urabá,5,28,440,8h,"{'lat': 8.7576, 'lng': -76.5234}","Desde Arboletes por la carretera costera, zona más norte de Antioquia.",Fundado en 1978. Municipio del extremo norte de Antioquia en la costa Caribe. Frontera con Córdoba y Sucre. Zona de pesca artesanal y cocoteros.,"['Playas caribeñas', 'Pesca artesanal', 'Cocoteros', 'Parque principal']","['Mariscos', 'Pescado frito', 'Patacón', 'Arroz con coco', 'Cocadas']",['Fiestas patronales'],Carretera costera.,dificil,Zona más norte de Antioquia. Muy pocos moteros llegan aquí. Para verdaderos aventureros del Caribe.,12000,"Municipio más al norte de Antioquia, frontera con Córdoba.",2026-07-14 12:09:50.678603+00,san juan de uraba
san-luis,San Luis,Oriente,1050,24,100,2h15min,"{'lat': 6.0406, 'lng': -74.995}","Desde Medellín por la Autopista Medellín-Bogotá, bifurcación después de El Santuario.","Fundado en 1786. Zona de cañones y ríos caudalosos. El río Samaná Sur, el Dormilón y otros ríos forman un paraíso hídrico. Zona cafetera y de cacao. Fue duramente golpeado por el conflicto pero hoy florece turísticamente.","['Río Samaná Sur', 'Cañón del río Dormilón', 'Cascadas Los Chorros', 'Tubing', 'Playa El Edén', 'Senderos de montaña', 'Cultivos de cacao']","['Sancocho de pescado', 'Plátano asado', 'Yuca frita', 'Cacao artesanal', 'Trucha', 'Frutas tropicales']","['Fiestas patronales San Luis Rey', 'Festival del Cacao', 'Semana de Ríos']","Carretera regional, buen estado, curvas pronunciadas y paisajes de cañón.",media,Zona de clima cálido y ríos hermosos. Las playas de río son joyas escondidas. Llevar repelente: zona de selva. Muy buena comunidad receptiva al turismo.,13000,,2026-07-14 12:03:11.391593+00,san luis
san-pedro-milagros,San Pedro de los Milagros,Norte,2650,12,50,1h10min,"{'lat': 6.4736, 'lng': -75.5621}","Autopista Norte hasta antes de Barbosa, desvío hacia el oeste.",Fundado en 1787. Municipio ganadero de clima muy frío. Zona lechera por excelencia. El paisaje de pastizales verdes recuerda a Irlanda. Santuario del Señor de los Milagros que atrae peregrinos. Uno de los municipios más fríos de Antioquia (altiplano).,"['Santuario del Señor de los Milagros', 'Parque principal', 'Fincas lecheras', 'Cooperativa Colanta (nació aquí)', 'Embalse de Riogrande I', 'Páramo', 'Miradores']","['Leche Colanta (origen aquí)', 'Cuajada', 'Quesito', 'Mazamorra', 'Sancocho', 'Mantequilla de campo']","['Fiestas del Señor de los Milagros (mayo)', 'Feria Agroindustrial', 'Festival Lechero']","Vía en buen estado, curvas moderadas.",facil,"Cuna de Colanta, la cooperativa lechera más grande de Colombia. Temperatura 10-14°C. Imprescindible parada para lácteos frescos.",35000,"Cuna de Cooperativa Colanta, la más grande de Colombia.",2026-07-14 12:05:42.236136+00,san pedro de los milagros
san-pedro-uraba,San Pedro de Urabá,Urabá,10,28,380,6h30min,"{'lat': 8.28, 'lng': -76.3846}",Desde Apartadó hacia el norte por carretera departamental.,Fundado en 1978. Municipio del interior del Urabá norte. Zona de ganadería y agricultura tropical. Clima cálido y húmedo.,"['Parque principal', 'Ganadería', 'Ríos de selva', 'Zonas naturales']","['Sancocho de gallina', 'Plátano', 'Yuca', 'Frutas tropicales']",['Fiestas patronales'],Carretera departamental.,media,Zona interior del Urabá norte.,18000,,2026-07-14 12:09:50.678603+00,san pedro de uraba
